BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Broker C,Single Family,348500,5,4,4056,162 Main St,CA,162 Main St,County A,City C,District B,Pine Blvd,Property 162,"162 Main St, City A, CA",37.871025851732156,-122.01558899475249
Broker B,Condo,790417,5,3,1993,163 Main St,NY,163 Main St,County B,City A,District B,Pine Blvd,Property 163,"163 Main St, City A, CA",38.19947260718596,-122.20465549759165
Broker B,Townhouse,232311,2,1,4145,164 Main St,TX,164 Main St,County B,City C,District A,Pine Blvd,Property 164,"164 Main St, City A, CA",38.708578906132935,-122.06343160916776
Broker B,Townhouse,859034,4,2,3391,165 Main St,FL,165 Main St,County A,City A,District A,Main St,Property 165,"165 Main St, City A, CA",38.31728656019044,-122.13529585077256
Broker A,Townhouse,345546,2,3,2205,166 Main St,CA,166 Main St,County B,City B,District B,Main St,Property 166,"166 Main St, City A, CA",38.302356463721736,-122.24331071205614
Broker B,Townhouse,296733,3,3,4016,167 Main St,WA,167 Main St,County A,City C,District A,Main St,Property 167,"167 Main St, City A, CA",37.91602611829932,-121.67606708643434
Broker A,Condo,751233,1,4,3840,168 Main St,NY,168 Main St,County B,City B,District A,Pine Blvd,Property 168,"168 Main St, City A, CA",37.77568951109322,-122.16733011314983
Broker A,Townhouse,669560,1,4,553,169 Main St,FL,169 Main St,County A,City B,District C,Pine Blvd,Property 169,"169 Main St, City A, CA",38.585040090745466,-121.96523252983224
Broker B,Townhouse,975825,1,2,3075,170 Main St,TX,170 Main St,County C,City C,District C,Main St,Property 170,"170 Main St, City A, CA",37.86247456298624,-122.03354055316389
Broker B,Single Family,947644,2,1,4091,171 Main St,CA,171 Main St,County B,City A,District A,Oak Ave,Property 171,"171 Main St, City A, CA",38.40874981873532,-121.43732262136436
Broker B,Townhouse,246470,2,4,1115,172 Main St,NY,172 Main St,County A,City B,District A,Main St,Property 172,"172 Main St, City A, CA",38.68951645451519,-122.02830775585177
Broker C,Condo,744318,1,4,1454,173 Main St,CA,173 Main St,County B,City B,District B,Oak Ave,Property 173,"173 Main St, City A, CA",37.983551913158436,-122.33941751720324
Broker B,Condo,418647,2,3,2933,174 Main St,WA,174 Main St,County B,City C,District A,Pine Blvd,Property 174,"174 Main St, City A, CA",38.44017283623691,-122.32957424742791
Broker C,Condo,106570,5,4,2129,175 Main St,TX,175 Main St,County B,City C,District C,Pine Blvd,Property 175,"175 Main St, City A, CA",37.85359857670751,-121.82864627864693
Broker A,Condo,430929,5,4,3281,176 Main St,CA,176 Main St,County A,City C,District A,Main St,Property 176,"176 Main St, City A, CA",38.37865514383761,-121.82003644826173
Broker C,Townhouse,633398,2,4,1149,177 Main St,FL,177 Main St,County C,City C,District B,Main St,Property 177,"177 Main St, City A, CA",37.9388317209532,-122.00064100951734
Broker B,Townhouse,599115,1,4,2847,178 Main St,TX,178 Main St,County C,City C,District C,Pine Blvd,Property 178,"178 Main St, City A, CA",38.51085356051518,-121.98755630768797
Broker A,Condo,179141,2,3,4990,179 Main St,FL,179 Main St,County C,City C,District C,Main St,Property 179,"179 Main St, City A, CA",38.07613129479391,-122.36546741715912
Broker A,Condo,112115,2,2,3778,180 Main St,CA,180 Main St,County A,City A,District C,Pine Blvd,Property 180,"180 Main St, City A, CA",38.23829100880465,-121.90285348961073
Broker A,Townhouse,139062,2,2,3140,181 Main St,TX,181 Main St,County C,City B,District C,Pine Blvd,Property 181,"181 Main St, City A, CA",38.37433054202762,-121.91466052461965
Broker C,Condo,909343,3,1,4301,182 Main St,FL,182 Main St,County A,City A,District A,Oak Ave,Property 182,"182 Main St, City A, CA",37.94617341066624,-122.26985068144305
Broker B,Single Family,728349,5,4,3061,183 Main St,WA,183 Main St,County B,City A,District B,Main St,Property 183,"183 Main St, City A, CA",38.51653781861762,-122.31556061388906
Broker A,Condo,394700,4,3,3749,184 Main St,WA,184 Main St,County B,City C,District A,Pine Blvd,Property 184,"184 Main St, City A, CA",38.077540340636816,-122.29582750940051
Broker A,Condo,490479,4,1,870,185 Main St,CA,185 Main St,County C,City B,District A,Main St,Property 185,"185 Main St, City A, CA",38.437271859912755,-122.31837175350874
Broker A,Single Family,626257,3,1,1357,186 Main St,TX,186 Main St,County A,City A,District C,Oak Ave,Property 186,"186 Main St, City A, CA",37.93318305069938,-121.80969180446324
Broker C,Single Family,930185,2,2,883,187 Main St,NY,187 Main St,County B,City C,District B,Oak Ave,Property 187,"187 Main St, City A, CA",38.46301765920635,-122.22291734759708
Broker C,Townhouse,497686,3,3,4377,188 Main St,TX,188 Main St,County A,City C,District C,Main St,Property 188,"188 Main St, City A, CA",37.90308807281046,-122.16796984781253
Broker B,Townhouse,221863,3,3,3052,189 Main St,WA,189 Main St,County A,City B,District A,Main St,Property 189,"189 Main St, City A, CA",38.200256496269986,-122.24582785584856
Broker C,Single Family,896657,1,3,4834,190 Main St,FL,190 Main St,County B,City A,District A,Pine Blvd,Property 190,"190 Main St, City A, CA",38.02210607373888,-121.46156469555149
Broker A,Single Family,601076,5,2,4790,191 Main St,NY,191 Main St,County A,City A,District C,Oak Ave,Property 191,"191 Main St, City A, CA",38.52327524942819,-121.56478253684816
Broker B,Townhouse,747296,4,2,3225,192 Main St,CA,192 Main St,County B,City A,District A,Oak Ave,Property 192,"192 Main St, City A, CA",38.03693500450688,-122.18890516264848
Broker A,Condo,600726,2,2,4534,193 Main St,NY,193 Main St,County B,City C,District A,Oak Ave,Property 193,"193 Main St, City A, CA",38.6566173063954,-122.09183370607786
Broker A,Single Family,778556,4,2,3793,194 Main St,CA,194 Main St,County B,City B,District C,Main St,Property 194,"194 Main St, City A, CA",38.66672021140661,-122.209507157695
Broker C,Townhouse,730111,4,2,4751,195 Main St,NY,195 Main St,County A,City B,District A,Pine Blvd,Property 195,"195 Main St, City A, CA",37.97134131522279,-121.92752404053917
Broker B,Condo,900101,5,4,4488,196 Main St,CA,196 Main St,County B,City A,District B,Main St,Property 196,"196 Main St, City A, CA",38.38874594500773,-122.39978946752574
Broker C,Single Family,734965,4,4,1422,197 Main St,CA,197 Main St,County A,City C,District C,Main St,Property 197,"197 Main St, City A, CA",37.862617641719964,-121.7480319911032
Broker C,Condo,871246,4,3,3415,198 Main St,NY,198 Main St,County B,City A,District B,Main St,Property 198,"198 Main St, City A, CA",38.16643709960163,-121.89624185018235
Broker B,Townhouse,148320,3,1,3450,199 Main St,NY,199 Main St,County B,City B,District A,Pine Blvd,Property 199,"199 Main St, City A, CA",38.48822172950128,-121.5207610716989
Broker A,Single Family,596758,5,3,3546,200 Main St,CA,200 Main St,County C,City C,District A,Main St,Property 200,"200 Main St, City A, CA",38.43432324684992,-122.25500731567158
Broker A,Condo,246649,1,1,1474,201 Main St,WA,201 Main St,County C,City A,District C,Oak Ave,Property 201,"201 Main St, City A, CA",38.39960066940661,-121.61529075393887
Broker B,Single Family,225354,2,2,1730,202 Main St,NY,202 Main St,County C,City A,District A,Oak Ave,Property 202,"202 Main St, City A, CA",38.05744086366244,-121.62743898553327
Broker A,Condo,712297,4,1,2935,203 Main St,TX,203 Main St,County A,City C,District C,Oak Ave,Property 203,"203 Main St, City A, CA",38.15292494943441,-122.29221881078311
Broker B,Townhouse,881725,2,3,2314,204 Main St,FL,204 Main St,County A,City B,District C,Pine Blvd,Property 204,"204 Main St, City A, CA",37.877846144700285,-122.02084077585587
Broker B,Townhouse,548625,1,3,3434,205 Main St,CA,205 Main St,County B,City C,District C,Main St,Property 205,"205 Main St, City A, CA",38.4939228204336,-122.24924735885548
Broker C,Single Family,128625,2,1,1863,206 Main St,CA,206 Main St,County B,City A,District C,Pine Blvd,Property 206,"206 Main St, City A, CA",38.278788796791275,-122.16467949954244
Broker B,Condo,836400,1,4,4440,207 Main St,FL,207 Main St,County B,City A,District C,Main St,Property 207,"207 Main St, City A, CA",38.483665632345655,-122.15615382516945
Broker C,Single Family,386233,3,2,703,208 Main St,WA,208 Main St,County B,City A,District B,Oak Ave,Property 208,"208 Main St, City A, CA",38.023843524796874,-121.86316360597422
Broker A,Single Family,136487,4,2,660,209 Main St,FL,209 Main St,County A,City A,District C,Main St,Property 209,"209 Main St, City A, CA",38.09933822863507,-122.00798906823952
Broker A,Condo,559054,1,3,4987,210 Main St,NY,210 Main St,County B,City B,District B,Main St,Property 210,"210 Main St, City A, CA",38.109115337260114,-121.47166719599369
Broker A,Condo,328071,2,4,1268,211 Main St,FL,211 Main St,County B,City B,District A,Main St,Property 211,"211 Main St, City A, CA",37.80064240974722,-122.29302985805299
Broker A,Condo,996880,4,1,4248,212 Main St,CA,212 Main St,County C,City A,District C,Pine Blvd,Property 212,"212 Main St, City A, CA",38.115947872830624,-121.4457078651498
Broker C,Townhouse,588011,3,2,3081,213 Main St,FL,213 Main St,County B,City B,District A,Main St,Property 213,"213 Main St, City A, CA",38.578204573518036,-122.18876135978573
Broker A,Single Family,412282,4,4,1593,214 Main St,TX,214 Main St,County B,City B,District C,Main St,Property 214,"214 Main St, City A, CA",38.67219849574974,-121.64652606361814
Broker B,Single Family,273895,1,2,1107,215 Main St,NY,215 Main St,County B,City B,District B,Main St,Property 215,"215 Main St, City A, CA",38.29311831563593,-122.08043007382717
Broker B,Townhouse,530424,3,4,2040,216 Main St,FL,216 Main St,County A,City A,District B,Pine Blvd,Property 216,"216 Main St, City A, CA",38.23040169521922,-122.27631860458268
Broker B,Condo,416205,2,4,3375,217 Main St,CA,217 Main St,County C,City C,District B,Pine Blvd,Property 217,"217 Main St, City A, CA",37.80572461869937,-121.56151081475376
Broker C,Townhouse,201376,3,3,3691,218 Main St,NY,218 Main St,County B,City C,District A,Pine Blvd,Property 218,"218 Main St, City A, CA",38.65410433758539,-122.11053910076353
Broker A,Townhouse,525106,3,2,2337,219 Main St,CA,219 Main St,County B,City C,District C,Main St,Property 219,"219 Main St, City A, CA",37.787910213425874,-121.76054459577315
Broker A,Townhouse,965566,5,1,1189,220 Main St,WA,220 Main St,County C,City A,District A,Oak Ave,Property 220,"220 Main St, City A, CA",38.719650080210215,-121.85295631491337
Broker A,Single Family,933487,3,3,4259,221 Main St,TX,221 Main St,County B,City B,District B,Oak Ave,Property 221,"221 Main St, City A, CA",38.26411624868809,-121.94764369060913
Broker C,Townhouse,867629,3,3,3449,222 Main St,WA,222 Main St,County A,City B,District A,Oak Ave,Property 222,"222 Main St, City A, CA",38.11683449357473,-121.92358052735146
Broker B,Single Family,381652,4,1,2603,223 Main St,TX,223 Main St,County B,City A,District B,Main St,Property 223,"223 Main St, City A, CA",38.69911843484266,-121.68716208590772
Broker B,Single Family,572132,2,3,865,224 Main St,FL,224 Main St,County A,City A,District B,Oak Ave,Property 224,"224 Main St, City A, CA",37.7992909931101,-122.33162708587656
Broker A,Single Family,258056,4,4,4075,225 Main St,NY,225 Main St,County A,City C,District B,Oak Ave,Property 225,"225 Main St, City A, CA",38.35632489486909,-121.75121933804209
Broker B,Condo,734457,4,4,4699,226 Main St,FL,226 Main St,County B,City C,District C,Oak Ave,Property 226,"226 Main St, City A, CA",38.32383252449934,-121.52358789860142
Broker B,Single Family,894557,1,2,4672,227 Main St,TX,227 Main St,County C,City A,District C,Main St,Property 227,"227 Main St, City A, CA",37.994220401211386,-122.36161180298014
Broker C,Single Family,660347,4,2,4825,228 Main St,TX,228 Main St,County A,City C,District B,Oak Ave,Property 228,"228 Main St, City A, CA",38.203787431350214,-122.27874666076633
Broker C,Condo,562785,5,1,2878,229 Main St,TX,229 Main St,County C,City B,District A,Oak Ave,Property 229,"229 Main St, City A, CA",38.42716400594377,-121.70276806329797
Broker C,Single Family,727697,5,2,1705,230 Main St,CA,230 Main St,County B,City A,District A,Main St,Property 230,"230 Main St, City A, CA",38.50203119688193,-121.98211835175537
Broker C,Townhouse,599653,1,4,4339,231 Main St,NY,231 Main St,County A,City A,District C,Pine Blvd,Property 231,"231 Main St, City A, CA",37.775616858706584,-122.0158513791863
Broker A,Townhouse,629992,2,1,3235,232 Main St,FL,232 Main St,County B,City B,District B,Oak Ave,Property 232,"232 Main St, City A, CA",38.711753430091015,-122.28243336545576
Broker C,Single Family,828744,2,1,3847,233 Main St,FL,233 Main St,County C,City B,District A,Pine Blvd,Property 233,"233 Main St, City A, CA",37.93942537239281,-121.91262995928221
Broker B,Condo,842488,4,2,2175,234 Main St,WA,234 Main St,County B,City B,District B,Oak Ave,Property 234,"234 Main St, City A, CA",38.00848043422236,-122.29285468880362
Broker A,Townhouse,735567,4,4,798,235 Main St,TX,235 Main St,County B,City C,District A,Main St,Property 235,"235 Main St, City A, CA",38.03837344569385,-121.94277954368945
Broker B,Condo,782568,4,1,1456,236 Main St,TX,236 Main St,County A,City A,District C,Pine Blvd,Property 236,"236 Main St, City A, CA",37.81272013655204,-121.65578470103834
Broker B,Condo,742804,2,4,1614,237 Main St,TX,237 Main St,County B,City C,District B,Pine Blvd,Property 237,"237 Main St, City A, CA",37.89795212359033,-122.16113564211284
Broker B,Townhouse,622828,3,4,3005,238 Main St,FL,238 Main St,County B,City B,District B,Pine Blvd,Property 238,"238 Main St, City A, CA",38.76124992294417,-121.93861383182026
Broker C,Condo,578366,5,4,1974,239 Main St,WA,239 Main St,County B,City C,District A,Pine Blvd,Property 239,"239 Main St, City A, CA",38.090116737377286,-121.42738403060316
Broker C,Townhouse,821384,3,2,4960,240 Main St,CA,240 Main St,County A,City B,District A,Oak Ave,Property 240,"240 Main St, City A, CA",37.890201090339055,-121.73274957664596
Broker A,Condo,519139,3,3,4946,241 Main St,NY,241 Main St,County C,City C,District A,Oak Ave,Property 241,"241 Main St, City A, CA",37.88189126117462,-121.5780432286948
Broker A,Townhouse,619777,2,3,4226,242 Main St,CA,242 Main St,County C,City C,District B,Pine Blvd,Property 242,"242 Main St, City A, CA",38.49435996766997,-122.00455239343945
Broker C,Single Family,476188,3,1,3971,243 Main St,FL,243 Main St,County B,City B,District C,Oak Ave,Property 243,"243 Main St, City A, CA",38.62946866403264,-121.65153907687414
Broker B,Townhouse,332549,1,4,3328,244 Main St,TX,244 Main St,County A,City C,District C,Pine Blvd,Property 244,"244 Main St, City A, CA",38.03185229950847,-122.37889082705867
Broker A,Townhouse,653453,4,2,3350,245 Main St,NY,245 Main St,County B,City A,District A,Pine Blvd,Property 245,"245 Main St, City A, CA",37.79580951233524,-122.29648881745776
Broker C,Townhouse,691491,1,4,3006,246 Main St,FL,246 Main St,County C,City C,District C,Main St,Property 246,"246 Main St, City A, CA",37.99799001844536,-122.21632940707994
Broker C,Townhouse,584965,5,4,4270,247 Main St,FL,247 Main St,County A,City C,District A,Pine Blvd,Property 247,"247 Main St, City A, CA",37.83141569079676,-122.01744807538478
Broker C,Condo,890546,4,2,3464,248 Main St,FL,248 Main St,County C,City A,District C,Oak Ave,Property 248,"248 Main St, City A, CA",37.87829493663004,-121.57365512167424
Broker B,Single Family,136321,3,3,1449,249 Main St,NY,249 Main St,County C,City B,District B,Pine Blvd,Property 249,"249 Main St, City A, CA",38.206408119847644,-122.07313394921206
Broker C,Townhouse,435441,5,4,3350,250 Main St,NY,250 Main St,County A,City A,District A,Main St,Property 250,"250 Main St, City A, CA",38.004818370861635,-121.76477880648453
Broker C,Condo,983084,4,4,665,251 Main St,WA,251 Main St,County A,City C,District C,Oak Ave,Property 251,"251 Main St, City A, CA",38.290845878525424,-121.71008570519652
Broker C,Single Family,985736,3,3,3986,252 Main St,WA,252 Main St,County B,City B,District B,Main St,Property 252,"252 Main St, City A, CA",38.02839375325719,-121.83321764591166
Broker C,Single Family,345014,1,2,3009,253 Main St,CA,253 Main St,County B,City C,District C,Main St,Property 253,"253 Main St, City A, CA",38.71543730110295,-122.06215803182985
Broker A,Single Family,256498,4,1,1419,254 Main St,NY,254 Main St,County C,City C,District B,Pine Blvd,Property 254,"254 Main St, City A, CA",38.680843967926265,-121.84234665828644
Broker A,Single Family,117772,3,3,613,255 Main St,NY,255 Main St,County A,City A,District B,Main St,Property 255,"255 Main St, City A, CA",38.341706105010466,-122.07713440721025
Broker C,Townhouse,990186,1,1,4004,256 Main St,NY,256 Main St,County A,City A,District C,Main St,Property 256,"256 Main St, City A, CA",38.12932399198739,-122.33552626144798
Broker B,Townhouse,890144,5,1,1491,257 Main St,WA,257 Main St,County B,City B,District C,Oak Ave,Property 257,"257 Main St, City A, CA",38.15604688203474,-121.42659602181398
Broker A,Condo,494583,5,3,4339,258 Main St,FL,258 Main St,County C,City B,District B,Main St,Property 258,"258 Main St, City A, CA",38.1867522831445,-122.29221754636748
Broker C,Condo,338389,5,4,1758,259 Main St,TX,259 Main St,County C,City B,District B,Pine Blvd,Property 259,"259 Main St, City A, CA",38.502479322134946,-122.34705161616394
Broker A,Condo,739430,5,1,3926,260 Main St,WA,260 Main St,County B,City C,District B,Pine Blvd,Property 260,"260 Main St, City A, CA",38.22653899551884,-121.54086925079284
Broker A,Single Family,716024,2,1,1014,261 Main St,NY,261 Main St,County A,City A,District A,Pine Blvd,Property 261,"261 Main St, City A, CA",38.6316299465059,-122.1175653391071
Broker B,Single Family,151924,4,2,3696,262 Main St,WA,262 Main St,County B,City A,District B,Main St,Property 262,"262 Main St, City A, CA",38.71899478593037,-121.76910302592648
Broker C,Townhouse,628014,4,4,4934,263 Main St,CA,263 Main St,County B,City A,District A,Oak Ave,Property 263,"263 Main St, City A, CA",38.11084615337894,-122.09039427033777
Broker C,Single Family,451296,2,1,3084,264 Main St,NY,264 Main St,County B,City B,District B,Pine Blvd,Property 264,"264 Main St, City A, CA",38.33559448137568,-122.02794572920553
Broker B,Single Family,127723,3,2,567,265 Main St,CA,265 Main St,County B,City A,District A,Main St,Property 265,"265 Main St, City A, CA",37.86995653683257,-122.1572870279832
Broker B,Single Family,858470,3,4,2096,266 Main St,NY,266 Main St,County A,City A,District B,Pine Blvd,Property 266,"266 Main St, City A, CA",37.975369047766364,-122.07635599420699
Broker C,Condo,986926,5,3,4978,267 Main St,WA,267 Main St,County B,City A,District B,Pine Blvd,Property 267,"267 Main St, City A, CA",38.18836576671016,-122.00869959941345
Broker C,Condo,764468,1,3,518,268 Main St,FL,268 Main St,County A,City B,District B,Oak Ave,Property 268,"268 Main St, City A, CA",37.981102715901784,-121.69898393090766
Broker B,Townhouse,308786,3,2,3230,269 Main St,TX,269 Main St,County B,City A,District C,Pine Blvd,Property 269,"269 Main St, City A, CA",38.65146049078872,-121.9078638057652
Broker A,Single Family,659931,1,3,4021,270 Main St,CA,270 Main St,County C,City B,District C,Oak Ave,Property 270,"270 Main St, City A, CA",37.9331862560591,-121.47583478284302
Broker A,Single Family,786684,4,1,1072,271 Main St,WA,271 Main St,County A,City A,District B,Main St,Property 271,"271 Main St, City A, CA",38.23056082155309,-122.37751960616121
Broker B,Townhouse,990328,1,4,2758,272 Main St,FL,272 Main St,County C,City A,District A,Pine Blvd,Property 272,"272 Main St, City A, CA",38.38059924045988,-121.91633167736796
Broker A,Single Family,314432,4,1,3402,273 Main St,WA,273 Main St,County B,City A,District A,Main St,Property 273,"273 Main St, City A, CA",38.46676390816085,-121.83517521116828
Broker B,Single Family,239999,2,1,1150,274 Main St,CA,274 Main St,County B,City B,District B,Main St,Property 274,"274 Main St, City A, CA",38.15796936972651,-121.49920301392572
Broker A,Condo,980112,2,3,3087,275 Main St,TX,275 Main St,County B,City B,District C,Main St,Property 275,"275 Main St, City A, CA",38.64399906872473,-122.37024147637857
Broker A,Townhouse,458690,5,1,3762,276 Main St,WA,276 Main St,County A,City A,District A,Pine Blvd,Property 276,"276 Main St, City A, CA",38.343219151077925,-121.84590041506478
Broker C,Townhouse,179973,3,3,1838,277 Main St,NY,277 Main St,County C,City C,District C,Oak Ave,Property 277,"277 Main St, City A, CA",38.21440778044755,-121.56577007147204
Broker C,Townhouse,949881,5,4,4134,278 Main St,FL,278 Main St,County A,City B,District A,Pine Blvd,Property 278,"278 Main St, City A, CA",37.842140634052036,-122.17747227188076
Broker A,Townhouse,734122,4,4,3327,279 Main St,WA,279 Main St,County A,City B,District B,Main St,Property 279,"279 Main St, City A, CA",38.23958946844517,-121.54310765147606
Broker A,Condo,860674,5,1,2717,280 Main St,FL,280 Main St,County B,City A,District C,Oak Ave,Property 280,"280 Main St, City A, CA",38.59563584081573,-122.4003565907257
Broker C,Condo,553449,1,2,4039,281 Main St,NY,281 Main St,County C,City C,District A,Main St,Property 281,"281 Main St, City A, CA",38.38944101822132,-121.68694537086627
Broker C,Single Family,387681,4,3,1537,282 Main St,TX,282 Main St,County B,City A,District B,Oak Ave,Property 282,"282 Main St, City A, CA",38.60706245372912,-121.48628677883134
Broker C,Single Family,594509,2,3,4883,283 Main St,TX,283 Main St,County A,City B,District B,Pine Blvd,Property 283,"283 Main St, City A, CA",38.26891167059931,-121.76220233835993
Broker B,Single Family,964008,3,1,4478,284 Main St,NY,284 Main St,County B,City B,District B,Oak Ave,Property 284,"284 Main St, City A, CA",37.893361705094485,-121.98037075601955
Broker A,Single Family,731810,4,3,3461,285 Main St,FL,285 Main St,County C,City A,District C,Pine Blvd,Property 285,"285 Main St, City A, CA",37.788539845835885,-122.37451898352728
Broker C,Condo,646900,4,3,3726,286 Main St,WA,286 Main St,County B,City A,District C,Main St,Property 286,"286 Main St, City A, CA",38.0781195467186,-121.49928618667737
Broker A,Townhouse,325049,1,2,1598,287 Main St,NY,287 Main St,County C,City C,District B,Oak Ave,Property 287,"287 Main St, City A, CA",38.47289047149779,-121.94910377730842
Broker B,Condo,368615,3,2,2824,288 Main St,CA,288 Main St,County C,City C,District C,Main St,Property 288,"288 Main St, City A, CA",38.5651599039417,-122.39040325566405
Broker B,Single Family,266703,2,1,1439,289 Main St,FL,289 Main St,County B,City B,District A,Oak Ave,Property 289,"289 Main St, City A, CA",38.07065283462033,-121.72957892867123
Broker C,Condo,864357,4,2,4216,290 Main St,TX,290 Main St,County A,City C,District B,Pine Blvd,Property 290,"290 Main St, City A, CA",38.27055392088325,-121.93756274642374
Broker B,Townhouse,847419,4,1,3914,291 Main St,NY,291 Main St,County B,City C,District B,Oak Ave,Property 291,"291 Main St, City A, CA",38.196018904434084,-122.29505468255759
Broker A,Townhouse,131348,1,4,1948,292 Main St,TX,292 Main St,County A,City B,District C,Oak Ave,Property 292,"292 Main St, City A, CA",38.18542278435143,-122.20512819068973
Broker C,Condo,295804,5,1,1070,293 Main St,FL,293 Main St,County A,City B,District B,Pine Blvd,Property 293,"293 Main St, City A, CA",38.00624871320015,-122.35490931954415
Broker A,Condo,887609,2,4,3404,294 Main St,TX,294 Main St,County B,City B,District A,Pine Blvd,Property 294,"294 Main St, City A, CA",37.91127110502946,-121.84510646029142
Broker A,Condo,235832,3,1,3005,295 Main St,NY,295 Main St,County A,City B,District C,Pine Blvd,Property 295,"295 Main St, City A, CA",37.97158855823122,-121.79737052074799
Broker B,Single Family,394923,4,3,1417,296 Main St,FL,296 Main St,County A,City A,District C,Oak Ave,Property 296,"296 Main St, City A, CA",37.83023238716335,-121.91365770164455
Broker B,Condo,383780,4,2,2374,297 Main St,CA,297 Main St,County B,City B,District B,Main St,Property 297,"297 Main St, City A, CA",37.97303074182358,-121.60229786699738
Broker B,Condo,706177,2,4,2178,298 Main St,NY,298 Main St,County B,City B,District B,Oak Ave,Property 298,"298 Main St, City A, CA",37.78410089762538,-121.55839117869198
Broker B,Condo,153551,5,1,1115,299 Main St,WA,299 Main St,County B,City B,District B,Oak Ave,Property 299,"299 Main St, City A, CA",38.40215840063598,-121.80377560331686
Broker B,Townhouse,504772,4,2,2249,300 Main St,NY,300 Main St,County A,City C,District C,Main St,Property 300,"300 Main St, City A, CA",38.091275407387684,-122.40664352029256
Broker C,Townhouse,766923,2,1,4325,301 Main St,FL,301 Main St,County C,City B,District B,Pine Blvd,Property 301,"301 Main St, City A, CA",38.748044711426914,-121.72417034425226
Broker A,Single Family,671107,1,2,4688,302 Main St,NY,302 Main St,County A,City A,District A,Oak Ave,Property 302,"302 Main St, City A, CA",37.9686170507763,-122.00140078307965
Broker A,Single Family,435914,5,2,2977,303 Main St,CA,303 Main St,County C,City A,District B,Main St,Property 303,"303 Main St, City A, CA",38.120728570309595,-121.85384251677361
Broker A,Townhouse,520182,3,1,4005,304 Main St,CA,304 Main St,County B,City B,District B,Pine Blvd,Property 304,"304 Main St, City A, CA",38.13274115864154,-121.77031939798111
Broker A,Townhouse,312781,4,4,3975,305 Main St,WA,305 Main St,County C,City A,District C,Pine Blvd,Property 305,"305 Main St, City A, CA",37.783351496062465,-122.06916338567292
Broker B,Townhouse,553105,2,4,1635,306 Main St,TX,306 Main St,County B,City C,District B,Oak Ave,Property 306,"306 Main St, City A, CA",38.614107953039465,-121.5023014948282
Broker A,Condo,782347,1,3,4500,307 Main St,FL,307 Main St,County B,City B,District C,Pine Blvd,Property 307,"307 Main St, City A, CA",37.80689446014433,-122.28542513325021
Broker C,Condo,965146,3,2,874,308 Main St,FL,308 Main St,County C,City A,District B,Pine Blvd,Property 308,"308 Main St, City A, CA",38.715079834729245,-121.74788819271896
Broker C,Townhouse,813708,2,3,706,309 Main St,TX,309 Main St,County B,City A,District A,Main St,Property 309,"309 Main St, City A, CA",38.66697435109362,-122.41504042004341
Broker A,Condo,648884,2,3,1819,310 Main St,CA,310 Main St,County C,City B,District A,Main St,Property 310,"310 Main St, City A, CA",38.310421916085964,-121.49474889459482
Broker A,Condo,950538,3,1,1641,311 Main St,CA,311 Main St,County B,City A,District C,Pine Blvd,Property 311,"311 Main St, City A, CA",38.318495574911296,-122.3068958667619
Broker C,Single Family,159182,1,1,3190,312 Main St,NY,312 Main St,County A,City B,District C,Main St,Property 312,"312 Main St, City A, CA",38.42867792295616,-122.32451576985243
Broker C,Townhouse,449307,1,1,3755,313 Main St,WA,313 Main St,County A,City A,District B,Pine Blvd,Property 313,"313 Main St, City A, CA",38.16195001193489,-122.08639236694775
Broker B,Townhouse,401454,5,2,589,314 Main St,WA,314 Main St,County B,City C,District B,Oak Ave,Property 314,"314 Main St, City A, CA",38.422122283397854,-122.04583371396092
Broker C,Condo,418232,4,1,4608,315 Main St,WA,315 Main St,County B,City A,District A,Main St,Property 315,"315 Main St, City A, CA",37.81966838868849,-122.20509992767711
Broker B,Townhouse,753091,3,1,3520,316 Main St,NY,316 Main St,County C,City A,District B,Pine Blvd,Property 316,"316 Main St, City A, CA",37.82894762734973,-121.83427833907287
Broker B,Single Family,239978,3,2,2357,317 Main St,WA,317 Main St,County A,City B,District A,Pine Blvd,Property 317,"317 Main St, City A, CA",38.232130419619544,-121.97648590195803
Broker B,Single Family,923346,3,2,1304,318 Main St,TX,318 Main St,County C,City A,District C,Main St,Property 318,"318 Main St, City A, CA",38.324522301106036,-122.38522441095891
Broker B,Single Family,996782,1,4,1444,319 Main St,NY,319 Main St,County B,City B,District B,Main St,Property 319,"319 Main St, City A, CA",38.66271764033582,-122.0997479377447
Broker B,Townhouse,669667,4,1,3289,320 Main St,TX,320 Main St,County B,City C,District C,Oak Ave,Property 320,"320 Main St, City A, CA",37.8795606339079,-121.60896708642683
Broker A,Townhouse,571828,5,1,4375,321 Main St,NY,321 Main St,County C,City B,District B,Pine Blvd,Property 321,"321 Main St, City A, CA",38.597547927193894,-121.72969846513813
Broker C,Townhouse,870188,2,1,2110,322 Main St,WA,322 Main St,County B,City B,District A,Oak Ave,Property 322,"322 Main St, City A, CA",37.98494733729207,-121.69452914642011
Broker B,Townhouse,358517,2,4,3423,323 Main St,TX,323 Main St,County A,City A,District C,Oak Ave,Property 323,"323 Main St, City A, CA",38.168983648510036,-121.72128307591647
